incident_date,source_name,source_url,project_name,chain,attack_type_raw,attack_type_normalized,attack_tx_url,attack_contract_url,victim_contract_url,loss_text,summary,notes,tags
2024-10-10,SlowMist,https://bscscan.com/tx/0xa9df1bd97cf6d4d1d58d3adfbdde719e46a1548db724c2e76b4cd4c3222f22b3,HYDT,BSC,Price Manipulation,price_manipulation,,,,"$ 58,000","A suspicious attack involving HYDT tokens has occurred on BSC, resulting in a loss of approximately $58,000.","A suspicious attack involving HYDT tokens has occurred on BSC, resulting in a loss of approximately $58,000.",bsc|price_manipulation
2024-10-25,SlowMist,https://basescan.org/tx/0x6ab5b7b51f780e8c6c5ddaf65e9badb868811a95c1fd64e86435283074d3149e,Unverified Contracts,Base,Price Manipulation,price_manipulation,,,,"$ 1,000,000","Base chain detected a price manipulation attack targeting unverified lending contracts, where the attacker gained around $1 million in tokens through excessive borrowing.","Base chain detected a price manipulation attack targeting unverified lending contracts, where the attacker gained around $1 million in tokens through excessive borrowing.",base|price_manipulation
2024-11-10,SlowMist,https://bscscan.com/tx/0x8580825008800b9e13266f40b41a838a521e4d0bb4abc1cb78684253b7bc9fd1,BGM,BSC,Price Manipulation,price_manipulation,,,,"$ 450,000","The BGM token on BSC was attacked, resulting in losses exceeding $450K, with the attacker profiting through price manipulation.","The BGM token on BSC was attacked, resulting in losses exceeding $450K, with the attacker profiting through price manipulation.",bsc|price_manipulation
2024-11-14,SlowMist,https://x.com/SlowMist_Team/status/1856987988632457708,vETH,,Price Manipulation,price_manipulation,,,,"$ 450,000","The vETH token suffered an attack, resulting in approximately $450K in losses.","The vETH token suffered an attack, resulting in approximately $450K in losses.",price_manipulation
2024-12-18,SlowMist,https://www.odaily.news/newsflash/408096,HarryPotterObamaSonic10Inu,Ethereum,Price Manipulation,price_manipulation,,,,"$ 243,000",A series of exploiting transactions on Ethereum targeting the liquidity pool of the HarryPotterObamaSonic10Inu 2.0 token. The attacker profited approximately $243K and deposited the funds into Tornado.,A series of exploiting transactions on Ethereum targeting the liquidity pool of the HarryPotterObamaSonic10Inu 2.0 token. The attacker profited approximately $243K and deposited the funds into Tornado.,ethereum|price_manipulation
2025-01-10,SlowMist,https://bscscan.com/tx/0xd6ba15ecf3df9aaae37450df8f79233267af41535793ee1f69c565b50e28f7da,FortuneWheel,BSC,Price Manipulation,price_manipulation,,,,"$ 21,600","FortuneWheel was suspected to have been attacked on BSC, resulting in an approximate loss of $21.6K.","FortuneWheel was suspected to have been attacked on BSC, resulting in an approximate loss of $21.6K.",bsc|price_manipulation
